iter	RMSE
0	11.94646327
1	11.34247863
2	10.67646625
3	9.995052392
4	9.405007421
5	8.88612422
6	8.399292999
7	7.925834846
8	7.490150863
9	7.094177044
10	6.804556755
11	6.481626355
12	6.189763215
13	5.890822198
14	5.647440696
15	5.444409242
16	5.257867876
17	5.069204353
18	4.908447838
19	4.765991403
20	4.603191659
21	4.45286058
22	4.331705008
23	4.207708725
24	4.076391929
25	3.961721531
26	3.876027328
27	3.789526514
28	3.709299468
29	3.637922239
30	3.568896662
31	3.485497884
32	3.417122689
33	3.377657488
34	3.310999119
35	3.272771569
36	3.204524553
37	3.15567385
38	3.110505842
39	3.077841069
40	3.038297231
41	2.985148522
42	2.942970805
43	2.905622595
44	2.871929773
45	2.843750306
46	2.813404409
47	2.781132336
48	2.745167922
49	2.716650348
50	2.68273469
51	2.658393255
52	2.636441551
53	2.61969564
54	2.589258772
55	2.557067301
56	2.533997095
57	2.513972654
58	2.493466633
59	2.473682332
60	2.451454617
61	2.437360424
62	2.415666016
63	2.39818415
64	2.385659202
65	2.367632891
66	2.349516585
67	2.324968889
68	2.303073244
69	2.291909487
70	2.278654062
71	2.254450452
72	2.233893655
73	2.221729928
74	2.202158049
75	2.189238686
76	2.17229725
77	2.15894728
78	2.141292928
79	2.129889021
80	2.116822142
81	2.097736316
82	2.082802844
83	2.072138423
84	2.059637899
85	2.044656917
86	2.032235566
87	2.019297
88	2.008915815
89	1.994911985
90	1.986392341
91	1.977589838
92	1.968527065
93	1.958130883
94	1.950542656
95	1.936959129
96	1.923470644
97	1.917360762
98	1.908085317
99	1.896926677
100	1.887458622
101	1.877072583
102	1.867078102
103	1.858494822
104	1.846150787
105	1.837602087
106	1.818540763
107	1.815112336
108	1.803989108
109	1.796399824
110	1.784641944
111	1.777687658
112	1.767697399
113	1.759111902
114	1.752096315
115	1.741548133
116	1.733832405
117	1.732180653
118	1.716884351
119	1.709998403
120	1.708504052
121	1.696283585
122	1.686752939
123	1.684049605
124	1.674796299
125	1.666063979
126	1.657125532
127	1.65617782
128	1.648724055
129	1.647873632
130	1.646987558
131	1.639312734
132	1.632944105
133	1.63192522
134	1.623232044
135	1.617632975
136	1.610812294
137	1.600426286
138	1.597818829
139	1.592976536
140	1.584586308
141	1.576515889
142	1.561291657
143	1.557924748
144	1.551466027
145	1.54205962
146	1.536614939
147	1.528402253
148	1.524175428
149	1.513843529
150	1.506283006
151	1.500073625
152	1.491848425
153	1.488455405
154	1.486210756
155	1.476496416
156	1.47264607
157	1.464288013
158	1.458362602
159	1.45208181
160	1.445528039
161	1.437405438
162	1.434347727
163	1.430230656
164	1.426775676
165	1.423009785
166	1.415495668
167	1.40849921
168	1.406667358
169	1.40219418
170	1.396945096
171	1.387689255
172	1.379591577
173	1.377240204
174	1.370617499
175	1.365440164
176	1.360291516
177	1.354343303
178	1.3504835
179	1.346236431
180	1.336876897
181	1.332752693
182	1.327279862
183	1.320950545
184	1.309744075
185	1.301224744
186	1.295348758
187	1.289874653
188	1.285562691
189	1.281912323
190	1.272052033
191	1.270667953
192	1.265566165
193	1.260071879
194	1.253912378
195	1.246278217
196	1.241830802
197	1.239889475
198	1.233195296
199	1.229363628
