iter	Passed	Remaining
0	1	289
1	2	253
2	3	242
3	4	219
4	5	217
5	6	212
6	7	211
7	8	208
8	9	206
9	10	203
10	11	201
11	12	199
12	13	197
13	14	195
14	15	194
15	16	192
16	17	189
17	18	187
18	19	185
19	20	183
20	21	183
21	22	181
22	23	179
23	24	177
24	25	175
25	26	174
26	27	173
27	28	173
28	29	172
29	30	171
30	31	170
31	32	169
32	33	167
33	34	166
34	35	165
35	36	164
36	37	163
37	38	162
38	39	161
39	40	160
40	41	159
41	42	158
42	42	156
43	43	155
44	44	154
45	45	153
46	46	152
47	47	151
48	48	150
49	49	149
50	50	148
51	51	147
52	52	146
53	53	145
54	54	144
55	55	143
56	56	142
57	57	141
58	58	140
59	59	139
60	60	138
61	61	137
62	62	136
63	63	135
64	64	134
65	65	133
66	66	132
67	67	131
68	68	130
69	69	129
70	70	128
71	71	127
72	72	126
73	73	125
74	74	124
75	75	123
76	76	122
77	77	121
78	78	120
79	79	119
80	80	118
81	81	117
82	82	116
83	83	115
84	84	114
85	85	113
86	86	112
87	87	111
88	88	110
89	89	109
90	90	108
91	91	107
92	92	106
93	93	105
94	94	104
95	95	103
96	96	102
97	97	101
98	98	100
99	99	99
100	100	98
101	102	98
102	103	97
103	104	96
104	105	95
105	106	94
106	107	93
107	108	92
108	109	91
109	110	90
110	111	89
111	112	88
112	113	87
113	114	86
114	115	85
115	117	84
116	118	83
117	119	82
118	120	81
119	121	80
120	122	79
121	123	78
122	124	77
123	125	76
124	126	75
125	127	74
126	128	73
127	129	72
128	130	71
129	131	70
130	132	69
131	133	68
132	134	67
133	135	66
134	136	65
135	137	64
136	138	63
137	139	62
138	140	61
139	141	60
140	142	59
141	143	58
142	144	57
143	145	56
144	146	55
145	147	54
146	148	53
147	149	52
148	150	51
149	151	50
150	152	49
151	153	48
152	154	47
153	155	46
154	156	45
155	157	44
156	159	43
157	160	42
158	161	41
159	162	40
160	163	39
161	164	38
162	165	37
163	166	36
164	167	35
165	168	34
166	169	33
167	170	32
168	170	31
169	171	30
170	173	29
171	174	28
172	175	27
173	176	26
174	177	25
175	178	24
176	179	23
177	180	22
178	181	21
179	182	20
180	183	19
181	184	18
182	185	17
183	186	16
184	188	15
185	189	14
186	190	13
187	191	12
188	192	11
189	193	10
190	194	9
191	195	8
192	197	7
193	198	6
194	199	5
195	200	4
196	201	3
197	202	2
198	203	1
199	204	0
